Global Volcanism Program - Volcanoes of the World 5.2.1,,,List of Volcanoes of the World for VAAC Use,,Downloaded on 16 Jul 2024 at 09:13 AM,,,,,,,,,,
VolcanoNumber,VolcanoNumber_Old,VolcanoName,State,VolcanicSubregion,SummitElevM,LatitudeNS,LatitudeDegrees,LatitudeMinutes,LatitudeSeconds,LongitudeEW,LongitudeDegrees,LongitudeMinutes,LongitudeSeconds,LatitudeDecimal,LongitudeDecimal
221116,0201-116,GROPPO,Ethiopia,Africa (northeastern) and Red Sea,852,N,11,48,57,E,40,14,32,11.816,40.242
221120,0201-12=,KURUB,Ethiopia,Africa (northeastern) and Red Sea,625,N,11,53,0,E,41,12,30,11.88,41.208
221122,0201-122,MANDA-INAKIR,Ethiopia-Djibouti,Africa (northeastern) and Red Sea,600,N,12,23,0,E,42,12,0,12.38,42.2
221123,0201-123,MOUSA ALLI,Ethiopia-Eritrea-Djibouti,Africa (northeastern) and Red Sea,1993,N,12,28,8,E,42,24,16,12.469,42.404
221124,0201-124,GUFA,Eritrea-Djibouti,Africa (northeastern) and Red Sea,600,N,12,33,0,E,42,32,0,12.55,42.53
221125,0201-125,ASSAB VOLCANIC FIELD,Eritrea,Africa (northeastern) and Red Sea,987,N,12,57,0,E,42,26,0,12.95,42.43
221126,0201-126,ARDOUKOBA,Djibouti,Africa (northeastern) and Red Sea,298,N,11,35,0,E,42,28,0,11.58,42.47
221127,0201-120,MANDA GARGORI,Ethiopia,Africa (northeastern) and Red Sea,700,N,11,45,0,E,41,29,0,11.75,41.48
221141,0201-141,DAMA ALI,Ethiopia,Africa (northeastern) and Red Sea,1068,N,11,17,0,E,41,38,0,11.28,41.63
221150,0201-15=,GABILLEMA,Ethiopia,Africa (northeastern) and Red Sea,1459,N,11,5,0,E,41,16,0,11.08,41.27
221151,0201-151,YANGUDI,Ethiopia,Africa (northeastern) and Red Sea,1383,N,10,35,0,E,41,2,30,10.58,41.042
221160,0201-16=,AYELU,Ethiopia,Africa (northeastern) and Red Sea,2145,N,10,4,56,E,40,42,6,10.082,40.702
221170,0201-17=,ADWA,Ethiopia,Africa (northeastern) and Red Sea,1670,N,10,3,45,E,40,49,50,10.063,40.831
221171,0201-171,HERTALI,Ethiopia,Africa (northeastern) and Red Sea,900,N,9,47,0,E,40,20,0,9.78,40.33
221172,0201-172,LIADO HAYK,Ethiopia,Africa (northeastern) and Red Sea,878,N,9,34,0,E,40,17,0,9.57,40.28
221180,0201-18=,DOFAN,Ethiopia,Africa (northeastern) and Red Sea,1151,N,9,21,0,E,40,8,0,9.35,40.13
221190,0201-19=,FENTALE,Ethiopia,Africa (northeastern) and Red Sea,2007,N,8,59,6,E,39,54,21,8.985,39.906
221191,0201-191,BERU,Ethiopia,Africa (northeastern) and Red Sea,1100,N,8,57,0,E,39,45,0,8.95,39.75
221200,0201-20-,KONE,Ethiopia,Africa (northeastern) and Red Sea,1380,N,8,48,38,E,39,41,41,8.8105,39.6946
221210,0201-21-,BOSET,Ethiopia,Africa (northeastern) and Red Sea,2447,N,8,33,30,E,39,28,30,8.558,39.475
221220,0201-22-,BISHOFTU VOLCANIC FIELD,Ethiopia,Africa (northeastern) and Red Sea,1850,N,8,47,0,E,38,59,0,8.78,38.98
221222,0201-222,MELKASSA,Ethiopia,Africa (northeastern) and Red Sea,1765,N,8,26,0,E,39,21,0,8.43,39.35
221230,0201-23-,GEDEMSA,Ethiopia,Africa (northeastern) and Red Sea,1909,N,8,21,48,E,39,10,18,8.363,39.172
221250,0201-25-,BORA-BERICHA-TULLU MOYE,Ethiopia,Africa (northeastern) and Red Sea,2345,N,8,12,41,E,39,4,52,8.2114,39.0812
221251,0201-251,UNNAMED,Ethiopia,Africa (northeastern) and Red Sea,1886,N,8,0,48,E,39,3,43,8.013,39.062
221252,0201-252,EAST ZIWAY,Ethiopia,Africa (northeastern) and Red Sea,1889,N,7,52,28,E,38,54,9,7.874,38.902
221260,0201-26-,BUTAJIRI-SILTI FIELD,Ethiopia,Africa (northeastern) and Red Sea,2281,N,8,3,0,E,38,21,0,8.05,38.35
221270,0201-27-,ALUTO,Ethiopia,Africa (northeastern) and Red Sea,2335,N,7,46,0,E,38,47,0,7.77,38.78
221280,0201-28-,SHALA,Ethiopia,Africa (northeastern) and Red Sea,2075,N,7,27,25,E,38,33,26,7.4569,38.5571
221290,0201-29-,CORBETTI,Ethiopia,Africa (northeastern) and Red Sea,2289,N,7,11,33,E,38,23,23,7.193,38.39
221291,0201-291,BILATE RIVER FIELD,Ethiopia,Africa (northeastern) and Red Sea,1700,N,7,4,0,E,38,6,0,7.07,38.1
221294,,NORTHERN LAKE ABAYA VOLCANIC FIELD,Ethiopia,Africa (northeastern) and Red Sea,1594,N,6,45,36,E,37,58,12,6.76,37.97
221320,0201-32-,KORATH RANGE,Ethiopia,Africa (northeastern) and Red Sea,912,N,5,7,0,E,35,53,30,5.117,35.892
221330,,MEGA VOLCANIC FIELD,Ethiopia,Africa (northeastern) and Red Sea,1500,N,3,58,15,E,38,12,45,3.971,38.213
222001,0202-001,LAKE TURKANA NORTH ISLAND,Kenya,Africa (eastern),490,S,4,3,47,E,36,2,45,4.0631,36.0458
222010,0202-01=,LAKE TURKANA CENTRAL ISLAND,Kenya,Africa (eastern),518,N,3,29,45,E,36,2,11,3.496,36.0365
222020,0202-02=,LAKE TURKANA SOUTH ISLAND,Kenya,Africa (eastern),800,N,2,38,11,E,36,35,45,2.6364,36.5958
222021,0202-021,MARSABIT,Kenya,Africa (eastern),1707,N,2,19,0,E,37,58,0,2.32,37.97
222030,0202-03=,THE BARRIER,Kenya,Africa (eastern),1032,N,2,19,0,E,36,34,0,2.32,36.57
222040,0202-04-,NAMARUNU,Kenya,Africa (eastern),817,N,1,59,0,E,36,26,0,1.98,36.43
222050,0202-05-,SEGERERUA PLATEAU,Kenya,Africa (eastern),699,N,1,34,0,E,37,54,0,1.57,37.9
222051,0202-051,EMURUANGOGOLAK,Kenya,Africa (eastern),1285,N,1,30,0,E,36,20,0,1.5,36.33
222052,0202-052,SILALI,Kenya,Africa (eastern),1528,N,1,9,0,E,36,14,0,1.15,36.23
222053,0202-053,PAKA,Kenya,Africa (eastern),1697,N,0,55,0,E,36,11,0,0.92,36.18
